host_id,host_name,host_response_time,host_listings_count,neighbourhood,city,zipcode,market,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy
12867960,Maureen,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,Bungalow,Entire home/apt,10,3,4,4,$349.00,,,1,1125,0,,strict
3502513,Jennifer,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Bungalow,Entire home/apt,2,1,0,1,$110.00,$700.00,,2,1125,3,100,moderate
27606550,Christine,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,1,1,2,$160.00,"$1,140.00",,2,1125,1,100,moderate
5856339,Annie,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,1,1,3,$130.00,"$1,000.00","$2,700.00",3,1125,26,95,moderate
40885963,Michael,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,2,1,0,1,$99.00,,,1,1125,2,100,moderate
27128936,Anisa,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,2,1,0,1,$100.00,,"$2,000.00",1,1125,0,,flexible
3521823,Elise,N/A,2,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,3,1,1,1,$137.00,$815.00,,2,1125,3,100,moderate
53050379,Ana,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Private room,3,1,1,1,$20.00,,,1,1125,0,,flexible
1039322,Manomi,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,Townhouse,Entire home/apt,2,1.5,1,1,$150.00,,,4,1125,0,,strict
25150356,Kurt & Anna,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$145.00,,,2,1125,44,94,moderate
15155647,Shiri,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,Townhouse,Private room,2,1,1,1,$80.00,,,1,1125,10,100,flexible
12171359,Diane,within an hour,3,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,2,1,0,1,$95.00,,,3,1125,77,98,moderate
23669617,Irmela,N/A,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,2.5,3,3,$400.00,"$2,100.00","$7,500.00",2,1125,0,,moderate
560743,Zachary,within a day,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,2,1,1,$85.00,$450.00,,2,1125,2,100,moderate
3521823,Elise,N/A,2,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Private room,2,1,1,1,$70.00,,,1,1125,1,100,flexible
4016632,Jean-Marc,within an hour,5,West Queen Anne,Seattle,98119,Seattle,United States,Apartment,Entire home/apt,2,1,0,1,$90.00,$540.00,,2,14,109,97,strict
33524725,Ruth,within a few hours,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Private room,2,1,1,1,$80.00,,,1,6,52,92,flexible
4016632,Jean-Marc,within an hour,5,West Queen Anne,Seattle,98119,Seattle,United States,Camper/RV,Private room,2,1,1,2,$60.00,$360.00,,2,7,191,97,strict
46954097,Nell & Andreas,within an hour,1,West Queen Anne,Seattle,98119,Seattle,United States,House,Entire home/apt,4,1,2,2,$175.00,,,1,15,0,,moderate
2843411,Dina,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,6,2.5,3,4,$170.00,"$1,195.00","$3,195.00",4,1125,9,91,strict
18232665,Kim,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$85.00,$650.00,,3,1125,65,98,moderate
28770702,Mercy,within a few hours,4,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,12,3.5,5,7,$465.00,"$3,035.00","$12,140.00",3,1125,5,96,strict
5326074,Mckinzy,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$175.00,,,1,1125,5,96,flexible
31887689,Sophia,within an hour,1,Adams,Seattle,98107,Seattle,United States,Condominium,Private room,2,1,1,1,$50.00,,,1,1125,0,,flexible
36805437,Brooke,N/A,1,Adams,Seattle,98107,Seattle,United States,Apartment,Private room,2,1,1,1,$60.00,,,1,1125,0,,flexible
1612983,Andrea,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$59.00,$351.00,,1,1125,16,93,flexible
841009,Lauren,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Private room,4,1,1,4,$47.00,,,1,1125,23,77,strict
6296335,Fleur,within a day,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,2,2,$145.00,,,2,14,45,97,moderate
1343908,Martin,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$70.00,,,1,1125,75,94,flexible
15473800,Lisa,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$55.00,,,2,1125,86,94,moderate
3587674,Patti And Benson,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Private room,4,1,1,2,$95.00,,"$2,000.00",2,90,151,97,moderate
21066328,Debra,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$125.00,,,1,1125,6,92,flexible
23228606,Elin,within an hour,3,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$65.00,,,1,26,16,94,moderate
23228606,Elin,within an hour,3,Adams,Seattle,98107,Seattle,United States,House,Private room,1,1,1,1,$25.00,,,1,1125,0,,flexible
811494,Alexis,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,0,2,$40.00,$250.00,$800.00,5,1125,0,,strict
2231298,Chris,within an hour,4,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,6,1,3,4,$149.00,"$1,300.00","$3,950.00",1,1125,165,95,moderate
7466082,Vera,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1.5,1,1,$125.00,$900.00,"$3,750.00",3,1125,48,100,strict
43954674,Brian,within a day,3,Adams,Seattle,98107,Seattle,United States,House,Private room,2,0.5,1,1,$55.00,,,1,1125,0,,flexible
53050,Bob,within an hour,2,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,3,$129.00,$903.00,,5,999,2,100,strict
3781927,Katharine,N/A,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$100.00,$650.00,"$2,000.00",1,1125,0,,strict
4970133,Paula,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,2,2,2,$150.00,$950.00,,2,1125,27,93,moderate
24709547,Daniel,N/A,1,Adams,Seattle,98107,Seattle,United States,Townhouse,Private room,1,1,1,1,$50.00,,,1,1125,0,,flexible
2882219,John And Alicia,within a few hours,1,Adams,Seattle,98117,Seattle,United States,Apartment,Entire home/apt,6,1,2,3,$99.00,$599.00,,5,15,0,,moderate
2317654,Dahlia,within a day,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1.5,1,1,$150.00,,,2,1125,9,98,strict
43954674,Brian,within a day,3,Adams,Seattle,98107,Seattle,United States,Bungalow,Entire home/apt,4,1,1,3,$105.00,,,2,1125,0,,flexible
2034501,Vivian,within a day,2,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,7,4,3,3,$218.00,"$1,221.00","$4,200.00",14,60,0,,strict
19071753,Julien,within a few hours,1,Adams,Seattle,98117,Seattle,United States,House,Entire home/apt,5,1.5,2,2,$80.00,,,1,7,88,95,moderate
35674639,Beverly,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$126.00,$945.00,"$3,970.00",2,1125,10,98,moderate
24500821,Tim,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$115.00,$750.00,,1,1125,5,96,strict
205007,Martin And Taryn,within a day,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,2,2,2,$225.00,,,2,10,10,98,flexible
79450,Brad & Liz,within an hour,2,Adams,Seattle,98107,Seattle,United States,Cabin,Entire home/apt,2,1,1,1,$89.00,$549.00,,2,14,244,97,moderate
430709,Sea To Sky Rentals,within a day,36,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,8,2.5,3,5,$225.00,,,3,1125,1,100,strict
13535511,Megan,N/A,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,1,1,0,1,$50.00,$250.00,$850.00,1,1125,0,,flexible
28770702,Mercy,within a few hours,4,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$134.00,$910.00,"$3,402.00",3,45,40,98,strict
15785670,Emily,N/A,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$75.00,$500.00,,3,1125,2,80,moderate
34872403,Pallavi,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$65.00,$555.00,"$1,850.00",1,1125,46,97,moderate
33225983,Jean,within an hour,2,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,6,2.5,3,4,$375.00,"$1,800.00",,1,1125,23,96,moderate
8403307,Mario,within an hour,2,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,3,1,1,2,$97.00,$590.00,"$1,795.00",2,1125,44,98,strict
19296907,J.Lynn,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Condominium,Entire home/apt,2,1,1,1,$145.00,$900.00,"$2,250.00",2,35,14,97,moderate
53050,Bob,within an hour,2,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,5,1,2,4,$129.00,$903.00,,5,1125,12,100,strict
25066447,Karen,within a day,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,6,1.5,3,4,$197.00,"$1,172.00",,4,29,1,100,strict
28375755,Barbara,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$120.00,,,2,28,25,99,moderate
15060417,Ginny,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$200.00,"$1,500.00","$5,500.00",2,90,35,95,flexible
29133654,Muna,within an hour,2,Adams,Seattle,98117,Seattle,United States,Apartment,Entire home/apt,5,2,2,2,$135.00,,,1,1125,5,100,moderate
4807375,Jayne,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$70.00,$450.00,"$1,800.00",1,1125,31,95,moderate
36085516,Jennifer,within a day,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,2,$150.00,,,2,1125,7,97,flexible
19533935,Stephanie,within a day,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,3,1,1,1,$200.00,,,2,1125,4,95,moderate
23228606,Elin,within an hour,3,Adams,Seattle,98107,Seattle,United States,Townhouse,Private room,2,1,1,1,$60.00,,,1,26,16,98,moderate
23489864,Daniel,N/A,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,5,3,3,5,$180.00,,,5,1125,1,100,strict
39472587,Kelly,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Private room,3,1,1,1,$69.00,$350.00,"$1,250.00",1,1125,8,100,moderate
1539790,Alianna,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,3,1,0,1,$90.00,,,1,1125,1,100,flexible
32998581,Katelynn,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$80.00,$665.00,,1,1125,5,92,flexible
52580911,Karen,N/A,1,Adams,Seattle,98107,Seattle,United States,Townhouse,Private room,2,1.5,1,1,$65.00,,,1,1125,0,,flexible
3494510,Katie,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,5,1.5,2,2,$150.00,,,4,1125,26,94,moderate
2231298,Chris,within an hour,4,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,6,1.5,2,3,$195.00,"$1,200.00","$4,950.00",1,1125,113,94,moderate
19001873,Kailee,within a day,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,1,$149.00,,,1,7,0,,flexible
15655683,Michael,within a day,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,5,3,2,2,$224.00,,,3,1125,15,96,strict
33367198,Mark And Marti,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,3,1,2,2,$115.00,,,3,1125,44,91,strict
43954674,Brian,within a day,3,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$55.00,,,1,1125,7,94,flexible
28770702,Mercy,within a few hours,4,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,8,2.5,4,5,$338.00,"$2,100.00","$7,000.00",3,1125,13,97,strict
79450,Brad & Liz,within an hour,2,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,2,1,1,1,$79.00,$499.00,,2,14,44,97,moderate
16884006,Alex,within an hour,1,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$80.00,$500.00,"$2,000.00",1,31,56,96,moderate
39884676,Will,within an hour,1,Adams,Seattle,98107,Seattle,United States,Townhouse,Entire home/apt,2,1,0,1,$85.00,$525.00,,2,1125,11,95,moderate
16687781,Andrea,within a few hours,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,2,1,1,1,$80.00,$530.00,"$1,600.00",2,100,39,98,moderate
25171396,Heidi,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Loft,Private room,3,1,1,1,$49.00,,,1,1125,10,90,moderate
4152568,Barrie,within a day,1,Adams,Seattle,98107,Seattle,United States,House,Entire home/apt,4,2.5,3,2,$100.00,$650.00,,1,1125,6,90,moderate
12503146,Alan,within a few hours,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$79.00,,,1,1125,4,85,flexible
5776729,Ballard Odd Fellows,within an hour,1,Adams,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,0,1,$75.00,$540.00,"$1,900.00",2,14,79,96,moderate
20069008,Kaiser,within a few hours,2,Adams,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$57.00,$550.00,"$2,000.00",2,28,50,96,moderate
34793330,Maya And Yoav,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,2,$99.00,,,2,1125,28,89,moderate
256203,Shannon,within a day,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Private room,1,1,1,1,$55.00,$274.00,,2,10,20,100,moderate
2237228,Mimi,within a few hours,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$96.00,$559.00,"$1,974.00",2,14,57,92,strict
129014,Rob And Molly,within an hour,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,1,1,$99.00,,,1,1125,38,94,moderate
28840161,Anna,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,2,2,$79.00,,,1,1125,71,95,strict
3979528,Amelia & Foxy,within a few hours,5,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,2,1,1,1,$115.00,$650.00,"$1,899.00",3,365,17,99,strict
19993125,Steven,within an hour,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,10,2.5,3,5,$350.00,"$1,500.00",,1,1125,13,98,strict
15104715,Mike & Laura,N/A,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,6,3,3,3,$295.00,,,2,7,3,93,strict
6428916,Javier & Yeon,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,House,Private room,2,1.5,1,1,$70.00,$420.00,"$1,300.00",2,1125,19,98,moderate
7849723,Brian,within a few hours,1,West Woodland,Seattle,98117,Seattle,United States,House,Private room,2,1,1,1,$53.00,$400.00,"$1,500.00",14,1125,18,99,flexible
5067360,Wendy,a few days or more,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,2,2,$110.00,$550.00,,2,14,12,71,flexible
39549545,Alex,N/A,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,2,2,$225.00,"$1,100.00",,1,1125,4,95,flexible
6407320,Varun,within an hour,4,West Woodland,Seattle,98107,Seattle,United States,House,Private room,2,1.5,1,1,$35.00,,,1,1125,7,97,strict
31684830,Yedida,within a day,1,West Woodland,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$55.00,$390.00,,1,1125,23,97,moderate
6407320,Varun,within an hour,4,West Woodland,Seattle,98107,Seattle,United States,Townhouse,Private room,2,1.5,1,1,$45.00,,,1,1125,2,90,strict
46108145,Mary,within a few hours,1,West Woodland,Seattle,98107,Seattle,United States,House,Private room,2,1,1,1,$79.00,,,1,7,0,,flexible
22414188,Grace,within a day,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,8,1,2,6,$133.00,,,2,1125,39,95,moderate
19477023,Cindy,within a few hours,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Private room,2,1,1,1,$65.00,,,2,1125,64,96,moderate
9484588,Kim,N/A,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Private room,1,2,1,1,$61.00,$244.00,,1,1125,4,80,moderate
48604323,Matt And Amy,within a few hours,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,2,3,3,$200.00,"$1,200.00",,4,7,0,,flexible
12036205,Sara,within a day,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$70.00,$400.00,"$1,100.00",5,1125,8,90,moderate
18413215,Emiliya,within an hour,2,West Woodland,Seattle,98107,Seattle,United States,House,Private room,1,1,1,1,$52.00,$300.00,"$1,100.00",30,90,14,97,moderate
26877490,Sarah,N/A,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Private room,2,1,1,1,$50.00,$400.00,,1,1125,1,100,flexible
6407320,Varun,within an hour,4,West Woodland,Seattle,98107,Seattle,United States,Townhouse,Entire home/apt,8,2.5,4,4,$275.00,,,1,1125,0,,strict
11580391,Shawn,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,2,1,1,1,$149.00,"$1,065.00","$3,759.00",2,1125,85,99,strict
3681393,Ryan,within a day,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,8,2,2,4,$199.00,"$1,250.00","$4,500.00",1,1125,0,,flexible
311363,Irmgard,within a few hours,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,2,1,1,1,$89.00,,,2,14,125,97,moderate
5325329,Blair,within a few hours,9,West Woodland,Seattle,,Seattle,United States,House,Entire home/apt,10,2,3,3,$225.00,,,1,90,121,91,strict
1187351,Michael,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,3,1,1,2,$120.00,$698.00,"$2,552.00",2,120,131,97,strict
1375021,Charlotte & Larry,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,2,1,0,1,$85.00,,,2,1125,49,98,flexible
6407320,Varun,within an hour,4,West Woodland,Seattle,98107,Seattle,United States,House,Private room,4,1.5,1,2,$80.00,,,1,1125,2,100,strict
35742272,Lisa,within an hour,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,3,1,1,3,$89.00,$536.00,"$1,875.00",2,1125,28,95,strict
129014,Rob And Molly,within an hour,2,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,4,1,1,1,$99.00,,,2,1125,111,92,moderate
179626,Susan,within an hour,2,West Woodland,Seattle,98107,Seattle,United States,Apartment,Entire home/apt,4,1,1,3,$110.00,,,1,16,49,97,flexible
3751963,Alan & Katence,within a day,1,West Woodland,Seattle,98107,Seattle,United States,House,Entire home/apt,6,1,2,3,$180.00,"$1,260.00",,3,1125,28,96,moderate
